country,year,GDP,life_expectancy,pop,decade,region
Mayotte,1800,NA,32.5,8219,1800,Sub-Saharan Africa
Mexico,1800,1379,26.9,6181708,1800,America
"Micronesia, Fed. Sts.",1800,518,26.7,16416,1800,East Asia & Pacific
Moldova,1800,621,33.145,712558,1800,Europe & Central Asia
Monaco,1800,1948,NA,7789,1800,Europe & Central Asia
Mongolia,1800,592,31.8,619000,1800,East Asia & Pacific
Montenegro,1800,1057,35.4,126582,1800,Europe & Central Asia
Montserrat,1800,NA,NA,5230,1800,America
Morocco,1800,715,33.1,2503218,1800,Middle East & North Africa
Mozambique,1800,390,30.278,1982324,1800,Sub-Saharan Africa
Myanmar,1800,840,30.8,3506000,1800,East Asia & Pacific
Namibia,1800,540,32.4,229000,1800,Sub-Saharan Africa
Nauru,1800,554,NA,1834,1800,East Asia & Pacific
Nepal,1800,654,32.8,3881000,1800,South Asia
Netherlands,1800,4235,39.86,2254522,1800,Europe & Central Asia
Netherlands Antilles,1800,NA,34.408,NA,1800,America
New Caledonia,1800,NA,26,29432,1800,East Asia & Pacific
New Zealand,1800,658,34.05,1e+05,1800,East Asia & Pacific
Ngorno-Karabakh,1800,NA,NA,NA,1800,Europe & Central Asia
Nicaragua,1800,973,25.4,219387,1800,America
Niger,1800,446,30.8,1244861,1800,Sub-Saharan Africa
Nigeria,1800,851,30.4,12100855,1800,Sub-Saharan Africa
Niue,1800,NA,NA,4538,1800,East Asia & Pacific
Norfolk Island,1800,NA,NA,NA,1800,East Asia & Pacific
Northern Cyprus,1800,NA,NA,NA,1800,Europe & Central Asia
Northern Mariana Islands,1800,NA,NA,3360,1800,East Asia & Pacific
Norway,1800,1278,37.9162089880228,868570,1800,Europe & Central Asia
Oman,1800,915,32.3,318000,1800,Middle East & North Africa
Pakistan,1800,1021,25.8,13123633,1800,South Asia
Palau,1800,839,NA,3875,1800,East Asia & Pacific
Panama,1800,847,32.9,78842,1800,America
Papua New Guinea,1800,546,31.5,754894,1800,East Asia & Pacific
Paraguay,1800,835,35.5,143000,1800,America
Peru,1800,1204,35.7,1314151,1800,America
Philippines,1800,962,30.9,1894389,1800,East Asia & Pacific
Pitcairn,1800,NA,NA,NA,1800,East Asia & Pacific
Poland,1800,1213,35.9,9508747,1800,Europe & Central Asia
Portugal,1800,1685,35.6,3033454,1800,Europe & Central Asia
Puerto Rico,1800,1375,30.43,155000,1800,America
Qatar,1800,1097,30.8,14092,1800,Middle East & North Africa
Reunion,1800,NA,33,92744,1800,Sub-Saharan Africa
Romania,1800,815,35.7,5464085,1800,Europe & Central Asia
Russia,1800,1430,29.5734571976521,31088398,1800,Europe & Central Asia
Rwanda,1800,431,31.8,928368,1800,Sub-Saharan Africa
St. Barthélemy,1800,NA,NA,NA,1800,NA
St. Helena,1800,NA,NA,1997,1800,NA
St. Kitts and Nevis,1800,1164,NA,17202,1800,NA
St. Lucia,1800,874,28.008,24000,1800,NA
St. Martin,1800,NA,NA,NA,1800,NA
St. Vincent and the Grenadines,1800,838,25.986,25781,1800,NA
St.-Pierre-et-Miquelon,1800,NA,NA,1782,1800,NA
Samoa,1800,1400,25.4,47300,1800,East Asia & Pacific
San Marino,1800,1401,NA,5492,1800,Europe & Central Asia
Sao Tome and Principe,1800,850,31,22731,1800,Sub-Saharan Africa
Saudi Arabia,1800,846,32.1,2091000,1800,Middle East & North Africa
Senegal,1800,497,25.2,1009886,1800,Sub-Saharan Africa
Serbia,1800,1358,35.5,2147197,1800,Europe & Central Asia
Serbia and Montenegro,1800,NA,NA,NA,1800,Europe & Central Asia
Serbia excluding Kosovo,1800,NA,NA,NA,1800,Europe & Central Asia
Seychelles,1800,792,37,12522,1800,Sub-Saharan Africa
Sierra Leone,1800,734,25.1,794264,1800,Sub-Saharan Africa
Singapore,1800,1021,29.1,30000,1800,East Asia & Pacific
Slovak Republic,1800,1427,36.4,2140651,1800,Europe & Central Asia
Slovenia,1800,1409,36.6,469664,1800,Europe & Central Asia
Solomon Islands,1800,363,25.1,56998,1800,East Asia & Pacific
Somalia,1800,694,29.4,991488,1800,Sub-Saharan Africa
Somaliland,1800,NA,NA,NA,1800,Sub-Saharan Africa
South Africa,1800,1480,33.5,1440820,1800,Sub-Saharan Africa
South Ossetia,1800,NA,NA,NA,1800,Europe & Central Asia
Spain,1800,1518,29.5,11549294,1800,Europe & Central Asia
Sri Lanka,1800,898,32.6,1213000,1800,South Asia
Sudan,1800,518,31.4,3994154,1800,Sub-Saharan Africa
Suriname,1800,1636,32.9,80721,1800,America
Svalbard,1800,NA,NA,NA,1800,Europe & Central Asia
Swaziland,1800,490,32.3,86000,1800,Sub-Saharan Africa
Sweden,1800,1414,32.16,2354189,1800,Europe & Central Asia
Switzerland,1800,2701,38,1826051,1800,Europe & Central Asia
Syria,1800,1081,31.1,1337000,1800,Middle East & North Africa
Taiwan,1800,996,28.3,NA,1800,East Asia & Pacific
Tajikistan,1800,556,24.235,466629,1800,Europe & Central Asia
Tanzania,1800,562,32.2,3019768,1800,Sub-Saharan Africa
Thailand,1800,931,30.4,4665000,1800,East Asia & Pacific
Timor-Leste,1800,521,28.949,137262,1800,East Asia & Pacific
Togo,1800,682,31.3,445985,1800,Sub-Saharan Africa
Tokelau,1800,NA,NA,1009,1800,East Asia & Pacific
Tonga,1800,663,28.2,18658,1800,East Asia & Pacific
Transnistria,1800,NA,NA,NA,1800,Europe & Central Asia
Trinidad and Tobago,1800,1230,32.9,60000,1800,America
Tunisia,1800,716,28.8,862029,1800,Middle East & North Africa
Turkey,1800,1221,35,9773456,1800,Europe & Central Asia
Turkmenistan,1800,943,24,367215,1800,Europe & Central Asia
Turks and Caicos Islands,1800,487,NA,3296,1800,America
Tuvalu,1800,719,NA,2499,1800,East Asia & Pacific
Uganda,1800,464,25.3,2101397,1800,Sub-Saharan Africa
Ukraine,1800,763,36.6,11215490,1800,Europe & Central Asia
United Arab Emirates,1800,998,30.7,40153,1800,Middle East & North Africa
United Kingdom,1800,3431,38.6497602996604,12327466,1800,Europe & Central Asia
United States,1800,2128,39.41,6801854,1800,America
